metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,94.996,0.2607374158037162,500.0,90.0,98.0,,,,,,,,,,,,,,,
coherence_raw,overall,74.178,19.829430551581655,500.0,15.0,92.0,,,,,,,,,,,,,,,
,,,,,,,graphical_0,95.0,0.0,5.0,80.8,8.704022058795578,5.0,,,,,,,,
,,,,,,,graphical_1,95.0,0.0,5.0,87.6,2.576819745345025,5.0,,,,,,,,
,,,,,,,graphical_2,95.0,0.0,5.0,81.0,8.0,5.0,,,,,,,,
,,,,,,,graphical_3,95.0,0.0,5.0,87.6,2.576819745345025,5.0,,,,,,,,
,,,,,,,graphical_4,95.0,0.0,5.0,67.0,22.706827167175955,5.0,,,,,,,,
,,,,,,,graphical_5,95.0,0.0,5.0,45.0,25.298221281347036,5.0,,,,,,,,
,,,,,,,graphical_6,95.0,0.0,5.0,81.4,4.2708313008125245,5.0,,,,,,,,
,,,,,,,graphical_7,95.0,0.0,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,graphical_8,95.0,0.0,5.0,84.2,3.3105890714493698,5.0,,,,,,,,
,,,,,,,graphical_9,95.0,0.0,5.0,69.6,22.64155471693585,5.0,,,,,,,,
,,,,,,,graphical_10,95.0,0.0,5.0,71.6,19.23122460999299,5.0,,,,,,,,
,,,,,,,graphical_11,95.0,0.0,5.0,82.2,4.874423042781576,5.0,,,,,,,,
,,,,,,,graphical_12,95.0,0.0,5.0,55.0,16.73320053068151,5.0,,,,,,,,
,,,,,,,graphical_13,95.0,0.0,5.0,82.0,4.898979485566356,5.0,,,,,,,,
,,,,,,,graphical_14,95.0,0.0,5.0,83.6,4.454211490264018,5.0,,,,,,,,
,,,,,,,graphical_15,94.0,2.0,5.0,70.8,18.432579851990333,5.0,,,,,,,,
,,,,,,,graphical_16,95.0,0.0,5.0,41.6,18.60752535938081,5.0,,,,,,,,
,,,,,,,graphical_17,95.0,0.0,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,graphical_18,95.0,0.0,5.0,88.4,3.1368774282716245,5.0,,,,,,,,
,,,,,,,graphical_19,95.0,0.0,5.0,87.6,2.576819745345025,5.0,,,,,,,,
,,,,,,,graphical_20,95.0,0.0,5.0,31.0,8.0,5.0,,,,,,,,
,,,,,,,graphical_21,95.0,0.0,5.0,80.8,4.874423042781576,5.0,,,,,,,,
,,,,,,,graphical_22,95.0,0.0,5.0,84.8,3.655133376499413,5.0,,,,,,,,
,,,,,,,graphical_23,95.0,0.0,5.0,80.2,4.069397989875161,5.0,,,,,,,,
,,,,,,,graphical_24,95.0,0.0,5.0,63.0,16.0,5.0,,,,,,,,
,,,,,,,graphical_25,95.0,0.0,5.0,89.6,1.9595917942265424,5.0,,,,,,,,
,,,,,,,graphical_26,95.0,0.0,5.0,83.0,4.0,5.0,,,,,,,,
,,,,,,,graphical_27,95.0,0.0,5.0,85.4,5.2,5.0,,,,,,,,
,,,,,,,graphical_28,95.0,0.0,5.0,57.0,21.354156504062622,5.0,,,,,,,,
,,,,,,,graphical_29,95.0,0.0,5.0,47.0,16.0,5.0,,,,,,,,
,,,,,,,graphical_30,95.0,0.0,5.0,63.6,24.57315608545227,5.0,,,,,,,,
,,,,,,,graphical_31,95.0,0.0,5.0,83.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,graphical_32,95.0,0.0,5.0,35.0,15.491933384829668,5.0,,,,,,,,
,,,,,,,graphical_33,95.0,0.0,5.0,35.0,15.491933384829668,5.0,,,,,,,,
,,,,,,,graphical_34,95.0,0.0,5.0,89.6,1.9595917942265424,5.0,,,,,,,,
,,,,,,,graphical_35,95.0,0.0,5.0,80.8,3.4292856398964497,5.0,,,,,,,,
,,,,,,,graphical_36,95.0,0.0,5.0,74.2,19.873600579663467,5.0,,,,,,,,
,,,,,,,graphical_37,95.0,0.0,5.0,57.0,19.390719429665317,5.0,,,,,,,,
,,,,,,,graphical_38,95.0,0.0,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,graphical_39,95.0,0.0,5.0,81.0,4.898979485566356,5.0,,,,,,,,
,,,,,,,graphical_40,95.0,0.0,5.0,69.6,12.354756169184402,5.0,,,,,,,,
,,,,,,,graphical_41,95.0,0.0,5.0,88.4,3.1368774282716245,5.0,,,,,,,,
,,,,,,,graphical_42,95.0,0.0,5.0,84.4,5.425863986500215,5.0,,,,,,,,
,,,,,,,graphical_43,95.0,0.0,5.0,68.2,16.65412861725284,5.0,,,,,,,,
,,,,,,,graphical_44,95.6,1.2,5.0,35.0,16.73320053068151,5.0,,,,,,,,
,,,,,,,graphical_45,95.0,0.0,5.0,75.6,9.024411338142782,5.0,,,,,,,,
,,,,,,,graphical_46,95.0,0.0,5.0,87.6,2.576819745345025,5.0,,,,,,,,
,,,,,,,graphical_47,95.0,0.0,5.0,80.8,3.4292856398964497,5.0,,,,,,,,
,,,,,,,graphical_48,95.0,0.0,5.0,87.0,2.756809750418044,5.0,,,,,,,,
,,,,,,,graphical_49,95.0,0.0,5.0,47.0,24.0,5.0,,,,,,,,
,,,,,,,graphical_50,95.0,0.0,5.0,55.0,20.97617696340303,5.0,,,,,,,,
,,,,,,,graphical_51,95.0,0.0,5.0,87.6,2.576819745345025,5.0,,,,,,,,
,,,,,,,graphical_52,95.0,0.0,5.0,85.4,3.8781438859330635,5.0,,,,,,,,
,,,,,,,graphical_53,95.0,0.0,5.0,65.6,17.130090484291085,5.0,,,,,,,,
,,,,,,,graphical_54,95.0,0.0,5.0,80.2,5.344155686354955,5.0,,,,,,,,
,,,,,,,graphical_55,95.0,0.0,5.0,86.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,graphical_56,95.0,0.0,5.0,77.0,7.483314773547883,5.0,,,,,,,,
,,,,,,,graphical_57,95.0,0.0,5.0,83.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,graphical_58,95.0,0.0,5.0,73.4,14.71869559437928,5.0,,,,,,,,
,,,,,,,graphical_59,95.0,0.0,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,graphical_60,95.0,0.0,5.0,84.8,3.655133376499413,5.0,,,,,,,,
,,,,,,,graphical_61,95.0,0.0,5.0,50.2,22.990432792794486,5.0,,,,,,,,
,,,,,,,graphical_62,95.0,0.0,5.0,80.2,8.280096617793781,5.0,,,,,,,,
,,,,,,,graphical_63,95.0,0.0,5.0,74.2,8.657944328765346,5.0,,,,,,,,
,,,,,,,graphical_64,95.0,0.0,5.0,81.6,4.2708313008125245,5.0,,,,,,,,
,,,,,,,graphical_65,95.0,0.0,5.0,73.6,19.794948850653796,5.0,,,,,,,,
,,,,,,,graphical_66,95.0,0.0,5.0,87.0,2.756809750418044,5.0,,,,,,,,
,,,,,,,graphical_67,95.0,0.0,5.0,83.0,4.0,5.0,,,,,,,,
,,,,,,,graphical_68,95.0,0.0,5.0,84.2,3.3105890714493698,5.0,,,,,,,,
,,,,,,,graphical_69,95.0,0.0,5.0,79.6,7.787168933572714,5.0,,,,,,,,
,,,,,,,graphical_70,95.0,0.0,5.0,67.6,16.341358572652396,5.0,,,,,,,,
,,,,,,,graphical_71,95.0,0.0,5.0,81.6,5.499090833947008,5.0,,,,,,,,
,,,,,,,graphical_72,95.0,0.0,5.0,75.6,6.437390775772433,5.0,,,,,,,,
,,,,,,,graphical_73,95.0,0.0,5.0,45.0,16.73320053068151,5.0,,,,,,,,
,,,,,,,graphical_74,95.0,0.0,5.0,45.0,20.97617696340303,5.0,,,,,,,,
,,,,,,,graphical_75,95.0,0.0,5.0,86.2,5.81033561853358,5.0,,,,,,,,
,,,,,,,graphical_76,95.0,0.0,5.0,84.2,5.528109984434101,5.0,,,,,,,,
,,,,,,,graphical_77,95.0,0.0,5.0,83.6,4.454211490264018,5.0,,,,,,,,
,,,,,,,graphical_78,95.0,0.0,5.0,47.0,19.390719429665317,5.0,,,,,,,,
,,,,,,,graphical_79,95.0,0.0,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,graphical_80,95.0,0.0,5.0,83.6,4.454211490264018,5.0,,,,,,,,
,,,,,,,graphical_81,95.0,0.0,5.0,49.0,24.166091947189145,5.0,,,,,,,,
,,,,,,,graphical_82,95.0,0.0,5.0,87.0,2.756809750418044,5.0,,,,,,,,
,,,,,,,graphical_83,95.0,0.0,5.0,67.6,21.611108254784156,5.0,,,,,,,,
,,,,,,,graphical_84,95.0,0.0,5.0,75.6,6.437390775772433,5.0,,,,,,,,
,,,,,,,graphical_85,95.0,0.0,5.0,87.6,2.576819745345025,5.0,,,,,,,,
,,,,,,,graphical_86,95.0,0.0,5.0,85.0,4.427188724235731,5.0,,,,,,,,
,,,,,,,graphical_87,95.0,0.0,5.0,85.0,4.427188724235731,5.0,,,,,,,,
,,,,,,,graphical_88,95.0,0.0,5.0,21.0,8.0,5.0,,,,,,,,
,,,,,,,graphical_89,95.0,0.0,5.0,79.6,7.787168933572714,5.0,,,,,,,,
,,,,,,,graphical_90,95.0,0.0,5.0,85.6,5.748043145279966,5.0,,,,,,,,
,,,,,,,graphical_91,95.0,0.0,5.0,51.6,17.153425313913253,5.0,,,,,,,,
,,,,,,,graphical_92,95.0,0.0,5.0,84.8,3.655133376499413,5.0,,,,,,,,
,,,,,,,graphical_93,95.0,0.0,5.0,86.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,graphical_94,95.0,0.0,5.0,68.2,5.035871324805669,5.0,,,,,,,,
,,,,,,,graphical_95,95.0,0.0,5.0,79.6,4.5431266766402185,5.0,,,,,,,,
,,,,,,,graphical_96,95.0,0.0,5.0,86.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,graphical_97,95.0,0.0,5.0,82.0,4.898979485566356,5.0,,,,,,,,
,,,,,,,graphical_98,95.0,0.0,5.0,88.2,2.227105745132009,5.0,,,,,,,,
,,,,,,,graphical_99,95.0,0.0,5.0,75.0,8.94427190999916,5.0,,,,,,,,
metadata,metadata,,,,,,,,,,,,,meta-llama/Llama-3.3-70B-Instruct,graphical,0.0,N/A,response,positive,1.0,500.0
