trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,12,1.0,94.68,91.92,93.30000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer12_coef1.0_summary.csv,True
1,24,1.0,94.73,91.73,93.23,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer24_coef1.0_summary.csv,True
2,12,3.0,94.59,91.49,93.03999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer12_coef3.0_summary.csv,False
3,27,1.0,94.82,91.51,93.16499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer27_coef1.0_summary.csv,False
4,15,0.5,94.69,91.76,93.225,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer15_coef0.5_summary.csv,False
5,33,1.5,94.88,91.17,93.025,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer33_coef1.5_summary.csv,False
6,27,3.5,94.74,90.72,92.72999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer27_coef3.5_summary.csv,True
7,15,4.0,94.62,91.91,93.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer15_coef4.0_summary.csv,True
8,22,2.0,94.65,91.27,92.96000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer22_coef2.0_summary.csv,True
9,24,3.0,94.77,91.56,93.16499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer24_coef3.0_summary.csv,True
10,12,2.5,94.73,91.68,93.20500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer12_coef2.5_summary.csv,True
11,15,4.0,94.62,91.91,93.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer15_coef4.0_summary.csv,False
12,34,4.0,94.71,88.2,91.455,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer34_coef4.0_summary.csv,True
13,32,4.5,94.35,88.87,91.61,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer32_coef4.5_summary.csv,True
14,23,4.0,94.71,90.73,92.72,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer23_coef4.0_summary.csv,True
15,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
16,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
17,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
18,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
19,28,2.5,94.91,90.62,92.765,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer28_coef2.5_summary.csv,True
20,31,4.5,94.31,88.61,91.46000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer31_coef4.5_summary.csv,True
21,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
22,39,1.0,94.91,91.52,93.215,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer39_coef1.0_summary.csv,False
23,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
24,25,0.5,94.7,91.91,93.305,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef0.5_summary.csv,False
25,29,2.0,94.88,91.11,92.995,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer29_coef2.0_summary.csv,True
26,35,3.5,94.79,89.05,91.92,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer35_coef3.5_summary.csv,False
27,25,1.5,94.85,91.67,93.25999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.5_summary.csv,True
28,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
29,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
30,35,1.0,94.79,91.05,92.92,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer35_coef1.0_summary.csv,False
31,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
32,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
33,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
34,22,1.0,94.82,91.83,93.32499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer22_coef1.0_summary.csv,True
35,34,3.0,94.78,90.19,92.485,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer34_coef3.0_summary.csv,True
36,33,1.0,94.85,91.47,93.16,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer33_coef1.0_summary.csv,False
37,28,0.5,94.76,91.57,93.16499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer28_coef0.5_summary.csv,False
38,31,1.5,94.7,91.34,93.02000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer31_coef1.5_summary.csv,True
39,23,1.0,94.88,91.54,93.21000000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer23_coef1.0_summary.csv,False
40,39,3.5,94.66,87.14,90.9,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer39_coef3.5_summary.csv,True
41,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
42,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
43,27,1.0,94.82,91.51,93.16499999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer27_coef1.0_summary.csv,False
44,12,2.5,94.73,91.68,93.20500000000001,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer12_coef2.5_summary.csv,False
45,24,2.0,94.79,91.52,93.155,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer24_coef2.0_summary.csv,False
46,32,3.0,94.65,90.74,92.695,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer32_coef3.0_summary.csv,True
47,29,4.5,94.68,88.76,91.72,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer29_coef4.5_summary.csv,False
48,25,1.0,94.85,91.99,93.41999999999999,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/professional/professional_pv_layer25_coef1.0_summary.csv,False
