trial,layer,coef,concept_score,coherence,steerability,source,new_eval
0,35,1.0,18.65,91.27,54.959999999999994,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer35_coef1.0_summary.csv,False
1,22,1.0,7.7,91.85,49.775,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer22_coef1.0_summary.csv,False
2,35,3.0,85.87,26.2,56.035000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer35_coef3.0_summary.csv,False
3,27,1.0,8.6,91.98,50.29,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer27_coef1.0_summary.csv,True
4,16,0.5,6.15,91.56,48.855000000000004,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer16_coef0.5_summary.csv,True
5,33,1.5,31.85,90.68,61.265,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer33_coef1.5_summary.csv,False
6,27,3.5,66.0,82.35,74.175,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer27_coef3.5_summary.csv,True
7,16,4.0,9.82,91.83,50.825,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer16_coef4.0_summary.csv,True
8,29,2.0,56.95,88.54,72.745,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer29_coef2.0_summary.csv,False
9,22,3.0,35.2,89.45,62.325,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer22_coef3.0_summary.csv,False
10,27,3.5,66.0,82.35,74.175,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer27_coef3.5_summary.csv,False
11,27,3.5,66.0,82.35,74.175,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer27_coef3.5_summary.csv,False
12,15,3.5,8.4,92.14,50.27,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer15_coef3.5_summary.csv,False
13,23,3.5,68.8,80.84,74.82,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer23_coef3.5_summary.csv,True
14,23,2.5,27.1,90.9,59.0,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer23_coef2.5_summary.csv,False
15,23,4.5,78.45,58.98,68.715,steering_evaluations/Llama-3.3-70B-Instruct/judge_gemma3_12b/humorous/humorous_pv_layer23_coef4.5_summary.csv,True
